"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEPT6",1.55268532616418e-25,0.252788064101315,0.327,0.15,3.1331637196667e-21,"11","SEPT6"
"RPL36AL.2",1.89679601902493e-25,0.297704150165522,0.551,0.336,3.82754468679041e-21,"11","RPL36AL"
"TCF4.3",1.97806746541408e-25,0.378829150859552,0.274,0.114,3.99154233845908e-21,"11","TCF4"
"TRAC.7",4.23016197938387e-25,-0.366299089143238,0.099,0.336,8.53604385819871e-21,"11","TRAC"
"SRSF7.1",4.96079707056459e-25,0.250135969385882,0.339,0.161,1.00103924086923e-20,"11","SRSF7"
"HMGB1.1",7.36730360987599e-25,0.251967222018312,0.426,0.223,1.48664819543688e-20,"11","HMGB1"
"GLTSCR2.3",1.17886964863067e-24,0.325928378077509,0.553,0.346,2.37884106397183e-20,"11","GLTSCR2"
"HINT1.2",1.80667731078006e-24,0.297437266563263,0.461,0.257,3.64569414542308e-20,"11","HINT1"
"RPL3P4.3",4.22874741328702e-24,0.321683026593568,0.509,0.308,8.53318940527187e-20,"11","RPL3P4"
"AHNAK.9",1.06843750018742e-23,0.276747587602328,0.698,0.501,2.15600003162819e-19,"11","AHNAK"
"SPCS1.1",3.73029906903293e-23,0.25754622332915,0.3,0.138,7.52737049140155e-19,"11","SPCS1"
"DDX17.4",1.88362453783081e-21,0.275124990624987,0.512,0.32,3.80096595488879e-17,"11","DDX17"
"ZC3HAV1.1",2.40369546190344e-21,0.269092260601927,0.288,0.136,4.85041707257495e-17,"11","ZC3HAV1"
"TNFAIP3.8",2.7239843632674e-21,0.329119889751103,0.429,0.242,5.4967280466373e-17,"11","TNFAIP3"
"CYTIP.1",1.23392935342704e-20,0.253549301364011,0.353,0.187,2.48994604228042e-16,"11","CYTIP"
"TOMM7.2",3.06899256798713e-20,0.281406036093496,0.62,0.429,6.19292010294122e-16,"11","TOMM7"
"IL32.6",6.59257470510169e-20,-0.265331177352304,0.09,0.296,1.33031564974247e-15,"11","IL32"
"ARL4C.4",1.8366380065517e-19,0.418194874112005,0.392,0.229,3.70615183342068e-15,"11","ARL4C"
"PLP2.1",2.68336314307078e-19,0.25894753887708,0.323,0.167,5.41475848640253e-15,"11","PLP2"
"ETS1.5",5.65673677334041e-19,-0.268921846451818,0.152,0.357,1.14147291349236e-14,"11","ETS1"
"TXN.1",2.70901767902371e-18,0.262915225342185,0.293,0.144,5.46652677450195e-14,"11","TXN"
"BIRC3.3",3.14715436812642e-18,0.354716629984558,0.323,0.169,6.35064279944231e-14,"11","BIRC3"
"CD52.9",1.2506784934318e-17,0.366911729757903,0.544,0.407,2.52374413189603e-13,"11","CD52"
"CCL5.8",2.97429961515244e-17,-0.373456104491183,0.191,0.389,6.00183919341611e-13,"11","CCL5"
"H1FX.1",1.59385447108149e-16,0.289029286866639,0.359,0.208,3.21623893719535e-12,"11","H1FX"
"ACP5.10",5.53723683871746e-16,-0.53816187181613,0.244,0.109,1.1173590216848e-11,"11","ACP5"
"TRBC2.7",8.85618799261172e-16,-0.272448308375535,0.094,0.265,1.78709017502912e-11,"11","TRBC2"
"IL7R.10",1.61518993810646e-15,-0.271226429632663,0.124,0.306,3.25929177610502e-11,"11","IL7R"
"IGFBP4.10",2.23346412331023e-15,-0.509311452873006,0.051,0.198,4.50690725442771e-11,"11","IGFBP4"
"GPNMB.9",1.08539704629206e-11,-0.404079453260871,0.26,0.135,2.19022269971274e-07,"11","GPNMB"
"CLU.10",4.01371842527915e-11,-0.295781389471098,0.028,0.136,8.09928241037079e-07,"11","CLU"
"APOC1.3",5.60539911378792e-10,-0.300827392884261,0.175,0.085,1.13111348717126e-05,"11","APOC1"
"FN1.10",4.88976203149596e-07,-0.392906851415925,0.265,0.165,0.00986705080335571,"11","FN1"
"SPARC.10",7.00695224763338e-07,-0.399258706349477,0.06,0.14,0.0141393289404994,"11","SPARC"
"TIMP3.10",1.37740678036755e-06,-0.544993956565677,0.127,0.209,0.0277946914210368,"11","TIMP3"
"APOD.10",2.62923621099257e-06,-1.0270650682551,0.044,0.112,0.0530553575016192,"11","APOD"
"COL6A1.11",5.88740436171567e-06,-0.276321940699246,0.037,0.102,0.118801932615061,"11","COL6A1"
"GZMB",0.000717415324400549,0.403800025095577,0.104,0.066,1,"11","GZMB"
"MGP.10",0.00199316841248545,-0.778846254362343,0.12,0.164,1,"11","MGP"
"TMSB4XP4.11",2.36347300263779e-206,0.631733793328682,0.726,0.139,4.7692521720228e-202,"12","TMSB4XP4"
"RP11.832N8.1.3",2.26206626923646e-162,0.804251133511257,0.673,0.158,4.56462352469225e-158,"12","RP11.832N8.1"
