"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD84.8",3.98560680651921e-76,0.388087379531871,0.528,0.121,8.04255597487512e-72,"14","CD84"
"CAPG.9",7.87420556049369e-76,0.428151452144463,0.537,0.123,1.58893594005202e-71,"14","CAPG"
"RHBDD2.1",1.08399814487922e-75,0.35185122436704,0.359,0.061,2.18739985655178e-71,"14","RHBDD2"
"PIM2.1",1.20081972498042e-75,0.435299799671597,0.364,0.063,2.42313412303799e-71,"14","PIM2"
"TDRD3",3.60773925425143e-74,0.265262065854273,0.268,0.035,7.28005704115396e-70,"14","TDRD3"
"CD83.2",1.68013051765381e-72,0.574863939864227,0.377,0.068,3.39033537157363e-68,"14","CD83"
"MT.CYB.10",2.35805222969628e-72,1.04947048817759,0.991,0.957,4.75831359430413e-68,"14","MT.CYB"
"FOXP1.2",6.73064419510174e-70,0.600246005571782,0.623,0.188,1.35817669212958e-65,"14","FOXP1"
"MT.ND2.10",2.35374570538321e-69,1.04161627613823,0.983,0.914,4.74962345889278e-65,"14","MT.ND2"
"PRDX6.1",5.48258788123279e-69,0.51203769020421,0.489,0.118,1.10633140855396e-64,"14","PRDX6"
"MTND1P23.11",1.00477692553261e-68,1.27429507999465,0.861,0.514,2.02753935803225e-64,"14","MTND1P23"
"NR4A3.2",1.39929842188488e-68,0.292408151317217,0.221,0.026,2.82364428552149e-64,"14","NR4A3"
"DDX5.5",5.75345305976921e-68,0.791120553408148,0.84,0.405,1.16098929293083e-63,"14","DDX5"
"FAM53C",9.18612646535038e-68,0.328531152195694,0.307,0.05,1.85366845944305e-63,"14","FAM53C"
"SMIM3",3.37120858822942e-67,0.281531297546826,0.299,0.047,6.80276181018814e-63,"14","SMIM3"
"JUNB.8",4.26515497793314e-67,0.975878583957826,0.926,0.537,8.60665622997129e-63,"14","JUNB"
"PAG1.2",5.14742774988473e-67,0.435083667229013,0.446,0.101,1.03869944564924e-62,"14","PAG1"
"CD63.10",6.72693292074789e-67,0.550495911031764,0.818,0.35,1.35742779407772e-62,"14","CD63"
"TSC22D3.10",1.08836857853688e-66,1.02716430411317,0.918,0.614,2.19621895462957e-62,"14","TSC22D3"
"MT.CO3.10",3.1462466136808e-66,0.918175317222378,0.996,0.977,6.34881104174648e-62,"14","MT.CO3"
"MT.CO2.11",1.10039670962283e-65,0.88765007278396,0.983,0.945,2.2204905203479e-61,"14","MT.CO2"
"RPL37A.8",3.49297552797871e-65,0.895251631231172,0.952,0.752,7.04847531790824e-61,"14","RPL37A"
"AHR.2",4.9482717942094e-65,0.41609489180967,0.372,0.073,9.98511765353515e-61,"14","AHR"
"RP5.1171I10.5",1.30485244166304e-64,0.280784919967999,0.229,0.03,2.63306174203185e-60,"14","RP5.1171I10.5"
"PRKAR1A.1",1.81951849340065e-64,0.467890905417643,0.524,0.141,3.67160636783317e-60,"14","PRKAR1A"
"ASAH1.6",3.71783474401913e-64,0.350940377072323,0.494,0.12,7.5022187299562e-60,"14","ASAH1"
"CDC42EP3.1",1.08424101356062e-62,0.362267606709466,0.385,0.08,2.18788994126397e-58,"14","CDC42EP3"
"RPL23.8",1.12794578071731e-61,0.811092376278548,0.926,0.635,2.27608179090945e-57,"14","RPL23"
"SERPINB1.2",2.03004817903158e-61,0.520237079864175,0.424,0.1,4.09643422046782e-57,"14","SERPINB1"
"MCL1.8",5.90448250874283e-60,0.890063388020879,0.797,0.392,1.19146552543922e-55,"14","MCL1"
"GPR65",1.0313082326512e-59,0.380156772471512,0.286,0.049,2.08107688266686e-55,"14","GPR65"
"IER5.2",1.28950477436804e-59,0.385902128357584,0.407,0.092,2.60209168419727e-55,"14","IER5"
"VIM.13",5.52376212399264e-59,0.608030901189548,0.97,0.594,1.11463995900048e-54,"14","VIM"
"NXF1",1.04145800147731e-58,0.289868515098323,0.325,0.061,2.10155810118107e-54,"14","NXF1"
"SDCBP.8",1.32275642892624e-58,0.419997792588006,0.558,0.162,2.66919019793026e-54,"14","SDCBP"
"CREB3L2.1",2.29093828332372e-58,0.302140054631846,0.346,0.069,4.62288436191893e-54,"14","CREB3L2"
"LAPTM5.10",3.85281769873797e-58,0.554613165494287,0.87,0.447,7.77460083428335e-54,"14","LAPTM5"
"SYTL2",1.38593180259759e-57,0.258348268177278,0.238,0.035,2.79667178446167e-53,"14","SYTL2"
"PLK3.1",2.41415257815353e-57,0.338767702835188,0.329,0.064,4.871518487456e-53,"14","PLK3"
"SRSF7.2",3.75516994686191e-57,0.556234712933316,0.532,0.161,7.57755743577265e-53,"14","SRSF7"
"KDM6B.1",4.89458124072106e-57,0.325323473292564,0.286,0.05,9.87677548565103e-53,"14","KDM6B"
"GNPTAB.1",2.06447124413631e-56,0.301213666462335,0.364,0.077,4.16589652354266e-52,"14","GNPTAB"
"XIST.6",2.45955739943612e-56,0.586096837617379,0.706,0.277,4.96314087632214e-52,"14","XIST"
"HNRNPA2B1.6",3.5438551083279e-56,0.581370218960633,0.688,0.271,7.15114522309488e-52,"14","HNRNPA2B1"
"MBOAT7.1",5.04491179448861e-56,0.277240622281634,0.303,0.056,1.01801275100986e-51,"14","MBOAT7"
"MAP3K1",6.16993427985208e-56,0.275564353697182,0.346,0.071,1.24503103833135e-51,"14","MAP3K1"
"UBB.8",2.2079324364991e-55,0.79132058896455,0.818,0.433,4.45538686361154e-51,"14","UBB"
"SLC44A1.2",2.24147548529524e-55,0.331723995275257,0.398,0.092,4.52307338177726e-51,"14","SLC44A1"
"MAST4",3.01380683039113e-55,0.256356677503365,0.268,0.045,6.08156080304625e-51,"14","MAST4"
"LCP2.2",1.08536014246798e-54,0.470260692047593,0.489,0.14,2.19014823148613e-50,"14","LCP2"
"SWAP70.1",3.39372451543528e-54,0.272489065742752,0.312,0.06,6.84819669969685e-50,"14","SWAP70"
"IDS.1",3.67198326542622e-54,0.506908520917679,0.55,0.177,7.40969503130357e-50,"14","IDS"
"PTPN6.2",4.98100453157524e-54,0.306980387904125,0.394,0.09,1.00511690442657e-49,"14","PTPN6"
"MT.ND4L.1",9.16157574394611e-54,0.538563564657167,0.628,0.235,1.84871436937089e-49,"14","MT.ND4L"
"LAIR1.1",1.01999851032786e-53,0.286724364558451,0.364,0.078,2.05825499399058e-49,"14","LAIR1"
"SEPT2.2",9.23124972844892e-53,0.49997125196953,0.584,0.203,1.86277388270371e-48,"14","SEPT2"
"PTMA.10",1.18246036313118e-51,0.737125641539833,0.874,0.513,2.38608676676241e-47,"14","PTMA"
"HSP90AA1.8",2.63375346653523e-51,0.73781688314549,0.74,0.344,5.31465112012143e-47,"14","HSP90AA1"
"AHNAK.10",3.97581674826668e-51,0.64657904397303,0.861,0.501,8.02280061632734e-47,"14","AHNAK"
"ARHGDIB.10",1.52403009688729e-50,0.684005884895981,0.823,0.46,3.07534033250887e-46,"14","ARHGDIB"
"BRD2.1",2.97194275880251e-50,0.478855468197738,0.554,0.19,5.99708329298759e-46,"14","BRD2"
"PCF11",1.09292664033592e-49,0.264207551979103,0.32,0.068,2.20541666753386e-45,"14","PCF11"
"DNAJA1.2",1.60625199687775e-49,0.385375094400042,0.442,0.121,3.2412559044996e-45,"14","DNAJA1"
"AKAP13.2",3.36191092727169e-49,0.447855158950594,0.515,0.166,6.78400006014153e-45,"14","AKAP13"
"CDKN1A.3",4.53688924326035e-49,0.491726239691258,0.377,0.093,9.15498880397507e-45,"14","CDKN1A"
"EFCAB14.1",9.80770849708674e-49,0.399434115889315,0.411,0.11,1.97909749762713e-44,"14","EFCAB14"
"MT.ND1.9",1.42639155468725e-48,0.587885746216892,0.952,0.732,2.87831551820339e-44,"14","MT.ND1"
"ZFAND5.2",1.67932390592797e-48,0.411638482373378,0.481,0.14,3.38870770977206e-44,"14","ZFAND5"
"ZEB2.2",5.7965506123584e-48,0.314641448163928,0.359,0.085,1.1696859480678e-43,"14","ZEB2"
"ANKRD28.1",9.61844102506918e-48,0.315272068561101,0.307,0.066,1.94090521444871e-43,"14","ANKRD28"
"NFKBID",1.0820669856889e-47,0.282313865988274,0.186,0.026,2.18350297042164e-43,"14","NFKBID"
"PEBP1.4",1.39407922774924e-47,0.548423430982281,0.645,0.264,2.81311247367519e-43,"14","PEBP1"
"PHF20",1.83866519843125e-47,0.251144706047905,0.299,0.062,3.71024250391443e-43,"14","PHF20"
"ADRBK1.2",3.31440534240658e-47,0.453830221469895,0.511,0.169,6.68813854044223e-43,"14","ADRBK1"
"SERTAD1",6.28633415466759e-46,0.277490688611506,0.307,0.068,1.26851936907037e-41,"14","SERTAD1"
"CCDC92",1.03081933463545e-45,0.253428417724276,0.26,0.05,2.08009033536087e-41,"14","CCDC92"
"PMP22.1",1.04614940332179e-45,0.281574169107923,0.338,0.078,2.11102488096303e-41,"14","PMP22"
"FXYD5.8",1.49077646366698e-45,0.503716800137739,0.714,0.32,3.0082378260336e-41,"14","FXYD5"
"S100A6.10",1.06269382262708e-44,0.527801069802757,0.9,0.542,2.14440986467918e-40,"14","S100A6"
"TPST2.1",1.47914861646041e-44,0.279253310697739,0.32,0.073,2.98477399315546e-40,"14","TPST2"
"TTC17",1.77478955521884e-44,0.256467989397799,0.277,0.057,3.5813478434761e-40,"14","TTC17"
"RPL36AL.3",2.21520838461547e-44,0.503496339078467,0.723,0.337,4.47006899931556e-40,"14","RPL36AL"
"TSC22D1.2",2.53749091237929e-44,0.597134301189316,0.403,0.114,5.12040291209017e-40,"14","TSC22D1"
"PRKX.1",2.69315590642244e-44,0.293278599592937,0.277,0.058,5.43451930356984e-40,"14","PRKX"
"COL18A1.2",3.14731116147328e-44,0.298186387879073,0.299,0.066,6.35095919273692e-40,"14","COL18A1"
"RASSF5",3.98562904221941e-44,0.263134819916273,0.329,0.078,8.04260084429455e-40,"14","RASSF5"
"SGK1.10",6.10827437765505e-44,0.300917058514261,0.437,0.121,1.23258868666701e-39,"14","SGK1"
"RPS20.5",1.89871226567087e-43,0.662470876437602,0.935,0.71,3.83141148089725e-39,"14","RPS20"
"MT.ND5.7",2.07783329833077e-43,0.637342377574668,0.905,0.689,4.19285981270166e-39,"14","MT.ND5"
"TRA2B.2",7.78946424699711e-43,0.389124433912915,0.463,0.146,1.57183599040155e-38,"14","TRA2B"
"NDUFA4.2",9.24356960149049e-43,0.444561931966837,0.528,0.184,1.86525990988477e-38,"14","NDUFA4"
"FOSL2.2",1.21151349358677e-42,0.358634741779457,0.394,0.11,2.44471307870875e-38,"14","FOSL2"
"RPL34.9",2.2337339130826e-42,0.680934743617468,0.935,0.773,4.50745166320937e-38,"14","RPL34"
"GADD45B.5",5.85359845047116e-42,0.552884743093024,0.481,0.159,1.18119763132057e-37,"14","GADD45B"
"SLC38A2.1",1.03641537067141e-41,0.376756727070536,0.381,0.109,2.09138257647783e-37,"14","SLC38A2"
"FTL.12",1.10922496866588e-41,-0.942097653591456,0.935,0.583,2.23830506427088e-37,"14","FTL"
"BIRC3.5",3.42234824076701e-41,0.700292772099582,0.485,0.168,6.90595651504374e-37,"14","BIRC3"
"IRF1.1",5.52768387859489e-41,0.389523514292715,0.338,0.086,1.11543132986166e-36,"14","IRF1"
"IDI1",9.9855685043641e-41,0.256443363933741,0.286,0.065,2.01498786849563e-36,"14","IDI1"
"PABPC1.9",1.53277945725669e-40,0.527847841671491,0.823,0.481,3.09299566679827e-36,"14","PABPC1"
"SLC25A3.3",2.97662509767211e-40,0.405359055134605,0.554,0.208,6.00653178459256e-36,"14","SLC25A3"
"SELK.1",3.01021268655336e-40,0.308231830165786,0.355,0.095,6.07430818019603e-36,"14","SELK"
"OSBPL8.1",7.17777300168989e-40,0.279939543272608,0.325,0.082,1.448402814011e-35,"14","OSBPL8"
"POLR2A.1",1.8025157881566e-39,0.347549314525991,0.411,0.126,3.6372966089212e-35,"14","POLR2A"
"LYN.2",1.92747667742722e-39,0.252746108460096,0.346,0.089,3.88945518738039e-35,"14","LYN"
"FAU.6",2.49688274919242e-39,0.546982790699153,0.922,0.693,5.03845969959538e-35,"14","FAU"
"RHOG.2",3.45294643397732e-39,0.271352869135947,0.407,0.117,6.96770060912283e-35,"14","RHOG"
"ELF1.1",3.67805765766534e-39,0.303230537360966,0.372,0.105,7.42195254740288e-35,"14","ELF1"
"SEMA4D.1",5.87330801750967e-38,0.31448135445756,0.351,0.098,1.18517482485328e-33,"14","SEMA4D"
"CSNK1D.1",6.7592347345332e-38,0.264068305303393,0.329,0.086,1.36394597708145e-33,"14","CSNK1D"
"CIRBP.4",7.53470253019335e-38,0.449989310368256,0.615,0.269,1.52042762356772e-33,"14","CIRBP"
"ALAS1.1",6.07786511420219e-37,0.339916299586814,0.177,0.029,1.22645240139486e-32,"14","ALAS1"
"NACA.8",8.53179250746662e-37,0.508099461798175,0.805,0.467,1.72163041008169e-32,"14","NACA"
"BNIP3L.1",2.43344822484645e-36,0.253962927955898,0.338,0.091,4.91045517291766e-32,"14","BNIP3L"
"RPS6.8",2.76278484024289e-36,0.627809007625802,0.9,0.727,5.57502352912612e-32,"14","RPS6"
"ESYT1.1",5.00846990036295e-36,0.327138343261813,0.39,0.12,1.01065914119424e-31,"14","ESYT1"
"RPL35A.8",5.67094683858123e-36,0.613415071353673,0.866,0.638,1.14434036255731e-31,"14","RPL35A"
"EIF1.10",7.33713176627272e-36,0.565587761397892,0.87,0.612,1.48055981911617e-31,"14","EIF1"
"HNRNPH1.1",1.49635145550631e-35,0.302270560910964,0.416,0.135,3.01948760206618e-31,"14","HNRNPH1"
"IER3.3",2.10570430733471e-35,0.300232835159,0.281,0.068,4.24910072177071e-31,"14","IER3"
"TPT1.10",3.5974144048646e-35,0.54480748165422,0.974,0.905,7.25922252757628e-31,"14","TPT1"
"NSMCE1",4.52866891943442e-35,0.278747388093105,0.238,0.053,9.13840101252671e-31,"14","NSMCE1"
"MDM4",8.54686622246244e-35,0.278994128862337,0.355,0.105,1.7246721350307e-30,"14","MDM4"
"LITAF.7",3.7796532674775e-34,0.360473337731047,0.58,0.242,7.62696232844284e-30,"14","LITAF"
"PNRC1.3",6.42692721048818e-34,0.455076713499737,0.576,0.262,1.29688964180441e-29,"14","PNRC1"
"ANXA11.2",6.82242292406216e-34,0.32147728920401,0.506,0.191,1.3766967218465e-29,"14","ANXA11"
"NCOA4.2",8.03098967602416e-34,0.361772713378789,0.368,0.113,1.62057340672492e-29,"14","NCOA4"
"HNRNPH3.1",3.27125263242817e-33,0.265599469143319,0.346,0.104,6.6010606869768e-29,"14","HNRNPH3"
"CLIC1.10",4.18892641441164e-33,0.426011683661616,0.623,0.289,8.45283461164124e-29,"14","CLIC1"
"RPS23.7",1.10344540700841e-32,0.592676108732208,0.857,0.658,2.22664248680227e-28,"14","RPS23"
"ID2.9",1.73296438631793e-32,0.816149886421687,0.606,0.293,3.49694883515096e-28,"14","ID2"
"RPL19.7",1.82245144280874e-32,0.480447753809347,0.931,0.763,3.67752476644375e-28,"14","RPL19"
"MORF4L2.1",1.85743751040182e-32,0.277540508970797,0.346,0.106,3.74812315223984e-28,"14","MORF4L2"
"GNB2L1.8",3.11389879682812e-32,0.503102397718584,0.887,0.594,6.28353638211946e-28,"14","GNB2L1"
"RPL32.7",3.79700835395183e-32,0.530066538575094,0.922,0.725,7.6619831574394e-28,"14","RPL32"
"RPS11.8",9.30104491338797e-32,0.536702385148502,0.918,0.728,1.87685785307256e-27,"14","RPS11"
"CD37.11",1.6032724010547e-31,0.332555082425021,0.623,0.285,3.23524337808828e-27,"14","CD37"
"MALAT1.7",1.62348475647024e-31,0.612912756001995,0.991,0.935,3.2760298900813e-27,"14","MALAT1"
"SNHG8",1.8795899400266e-31,0.290019996777627,0.403,0.137,3.79282453997969e-27,"14","SNHG8"
"DDX17.5",3.6549704583006e-31,0.405778080931016,0.649,0.321,7.37536488780479e-27,"14","DDX17"
"DYNLL2.1",4.01708611418973e-31,0.252197789338798,0.32,0.094,8.10607806982346e-27,"14","DYNLL2"
"RPS4X.9",5.03159370389894e-31,0.55310020391573,0.913,0.72,1.01532529350977e-26,"14","RPS4X"
"SRSF2.2",5.35818291791819e-31,0.427237210292799,0.494,0.206,1.08122773100671e-26,"14","SRSF2"
"TAOK3.2",6.82765518293299e-31,0.282702505754003,0.381,0.126,1.37775253936405e-26,"14","TAOK3"
"RPS24.8",7.14530257685107e-31,0.554517172297773,0.874,0.653,1.44185060698278e-26,"14","RPS24"
"DDIT4.3",9.91116298723983e-31,0.469113392844664,0.55,0.243,1.99997357919513e-26,"14","DDIT4"
"SFPQ.2",1.31630834226468e-30,0.36462562314822,0.45,0.172,2.6561786038559e-26,"14","SFPQ"
"RPS27A.6",1.98212034443338e-30,0.518741205254421,0.922,0.764,3.99972064303211e-26,"14","RPS27A"
"TAGLN2.8",2.55483623454223e-30,0.40688322158699,0.675,0.347,5.15540403768277e-26,"14","TAGLN2"
"HSP90AB1.6",2.8212978640866e-30,0.413124023483484,0.641,0.32,5.69309695994034e-26,"14","HSP90AB1"
"DAZAP2.3",3.9750079836586e-30,0.369205479571297,0.593,0.276,8.02116861022468e-26,"14","DAZAP2"
"PNISR",4.21859186274955e-30,0.346640168927151,0.476,0.19,8.51269651984231e-26,"14","PNISR"
"SRSF3.3",4.66701247148457e-30,0.335948102987579,0.489,0.197,9.41756446620872e-26,"14","SRSF3"
"SYAP1.2",5.00754338947047e-30,0.272173647770993,0.273,0.074,1.01047218056125e-25,"14","SYAP1"
"SF3B1.1",7.62848704472475e-30,0.280682556148922,0.429,0.158,1.53935240075501e-25,"14","SF3B1"
"MT.ATP8.7",7.71362688562122e-30,0.42661011172712,0.758,0.454,1.55653276924951e-25,"14","MT.ATP8"
"KLF6.10",8.9275363396537e-30,0.808852879154143,0.766,0.5,1.80148755797872e-25,"14","KLF6"
"BHLHE40.1",1.46599123631257e-29,0.47113844505639,0.281,0.08,2.95822371575513e-25,"14","BHLHE40"
"RPL31.7",1.51976226440932e-29,0.502084280352052,0.922,0.715,3.06672827335157e-25,"14","RPL31"
"PLAT.2",1.54129524151882e-29,0.346833944637728,0.208,0.046,3.11017966786083e-25,"14","PLAT"
"MYADM.8",1.98315966473868e-29,0.474079416488608,0.515,0.222,4.00181788747617e-25,"14","MYADM"
"LINC01578.1",2.21167092040977e-29,0.299431770986529,0.42,0.154,4.46293075029488e-25,"14","LINC01578"
"CLTC.1",8.01460202877014e-29,0.254422149267691,0.398,0.139,1.61726654338553e-24,"14","CLTC"
"PEPD.1",8.43890272190407e-29,0.252287634980634,0.303,0.088,1.70288618025302e-24,"14","PEPD"
"PLAU.1",9.48595444713013e-29,0.29454618946549,0.117,0.017,1.91417074788639e-24,"14","PLAU"
"N4BP2L2.1",9.8355020600947e-29,0.282311628434666,0.442,0.168,1.98470596070651e-24,"14","N4BP2L2"
"CAST.1",1.68902872108989e-28,0.289489473281623,0.403,0.145,3.40829105628729e-24,"14","CAST"
"RPL39.3",1.77513544790409e-28,0.43814983269982,0.567,0.276,3.58204582032566e-24,"14","RPL39"
"GPX4.4",2.04703168715e-28,0.25140559232587,0.476,0.185,4.13070524149998e-24,"14","GPX4"
"RPL11.8",4.46448232458938e-28,0.528301716636732,0.905,0.73,9.00887888278891e-24,"14","RPL11"
"LDHB.2",5.45673759159674e-28,0.413441842025753,0.442,0.177,1.10111507860831e-23,"14","LDHB"
"SNHG5.1",8.77320211855887e-28,0.315302819814217,0.45,0.182,1.770344455504e-23,"14","SNHG5"
"RPL37.9",1.65404220194377e-27,0.498138801866908,0.965,0.833,3.33769175930233e-23,"14","RPL37"
"EIF5.2",2.05005911815258e-27,0.295359741593653,0.364,0.127,4.13681429452008e-23,"14","EIF5"
"JUND.7",2.48972487278642e-27,0.595445221915362,0.758,0.496,5.02401582079572e-23,"14","JUND"
"EIF4A2.1",3.62406884870069e-27,0.301881556956929,0.433,0.173,7.31300852979313e-23,"14","EIF4A2"
"RPL30.7",4.77581216470495e-27,0.464776515910675,0.918,0.801,9.63711136715812e-23,"14","RPL30"
"DNAJB1.5",7.72312336471016e-27,0.422017956498018,0.502,0.225,1.55844906376486e-22,"14","DNAJB1"
"RP4.575N6.2",1.12731239695935e-26,0.282462828153467,0.325,0.108,2.27480368582427e-22,"14","RP4.575N6.2"
"TUBB.8",1.63422727468591e-26,0.459048845679503,0.554,0.252,3.29770721758869e-22,"14","TUBB"
"STK17B.2",4.58976007310169e-26,0.278282542064978,0.433,0.171,9.2616768515119e-22,"14","STK17B"
"RPL12.9",5.5298675106894e-26,0.46820023888057,0.827,0.582,1.11587196498201e-21,"14","RPL12"
"HSPA1A.6",7.35824347396922e-26,0.477504515395331,0.45,0.185,1.48481995061225e-21,"14","HSPA1A"
"RPL14.6",7.40209544836213e-26,0.506588397723745,0.805,0.562,1.49366884052499e-21,"14","RPL14"
"DYNLL1.5",1.07791256630815e-25,0.314470168798795,0.494,0.214,2.17511976755321e-21,"14","DYNLL1"
"ARF1.6",1.24165814976972e-25,0.270986650764347,0.61,0.296,2.50554198042031e-21,"14","ARF1"
"TUBB4B.1",2.6064822855136e-25,0.258010126476544,0.312,0.101,5.2596206039379e-21,"14","TUBB4B"
"CSRNP1.1",2.6538622800084e-25,0.308896274896643,0.342,0.122,5.35522869482894e-21,"14","CSRNP1"
"IKZF1.1",2.73642935793408e-25,0.266234464442179,0.398,0.153,5.52184080137518e-21,"14","IKZF1"
"HNRNPD.2",4.19030527193852e-25,0.29468121150322,0.463,0.198,8.45561700824473e-21,"14","HNRNPD"
"HSPA8.8",4.7419047739761e-25,0.505495717916015,0.636,0.356,9.56868964340637e-21,"14","HSPA8"
"CXCR4.9",1.1604776028645e-24,-0.474575267840394,0.203,0.566,2.34172775482028e-20,"14","CXCR4"
"WSB1.2",1.30582904874214e-24,0.369413648601035,0.446,0.192,2.63503243745677e-20,"14","WSB1"
"RPS17.8",1.32946438806444e-24,0.422146196585306,0.861,0.641,2.68272618867524e-20,"14","RPS17"
"PRDX1.7",2.29405319888676e-24,0.285993609348147,0.476,0.199,4.6291699500336e-20,"14","PRDX1"
"GLTSCR2.4",2.3638877191193e-24,0.368165683354203,0.645,0.347,4.77008902841084e-20,"14","GLTSCR2"
"MT.CO1.10",2.43261980289878e-24,0.39891202475767,0.961,0.876,4.90878350026945e-20,"14","MT.CO1"
"RPS13.7",1.18757321616233e-23,0.449842814457876,0.823,0.587,2.39640399289396e-19,"14","RPS13"
"WAC.2",1.98489048098528e-23,0.262630814980391,0.433,0.178,4.00531050158019e-19,"14","WAC"
"CELF2.2",2.47507006699434e-23,0.286917368177868,0.42,0.175,4.99444388818787e-19,"14","CELF2"
"ACTR3.2",2.77480465323716e-23,0.26850045190063,0.442,0.184,5.59927830976726e-19,"14","ACTR3"
"SLFN5",9.06680257479986e-23,0.268225235165716,0.316,0.113,1.82959009156886e-18,"14","SLFN5"
"HIST1H4C.2",1.27993059702731e-22,0.386225685759362,0.411,0.174,2.58277195174141e-18,"14","HIST1H4C"
"UBE2D3.2",1.46895654226234e-22,0.283843773913344,0.468,0.207,2.96420740663118e-18,"14","UBE2D3"
"RPL38.6",1.91383556532848e-22,0.444823496897864,0.844,0.629,3.86192878727634e-18,"14","RPL38"
"RPS27.10",2.2410671150522e-22,0.552259420304539,0.913,0.787,4.52224933146383e-18,"14","RPS27"
"MT.RNR2.11",2.43346591124805e-22,0.280271356579116,0.996,0.99,4.91049086230745e-18,"14","MT.RNR2"
"AP2M1.2",3.75655364912963e-22,0.262120996459334,0.433,0.187,7.58034960857869e-18,"14","AP2M1"
"RPL18.8",4.50332790811397e-22,0.427481145353283,0.892,0.718,9.08726538578317e-18,"14","RPL18"
"FUS.2",2.09419307067772e-21,0.28926119037662,0.519,0.256,4.22587219732058e-17,"14","FUS"
"UBA52.7",2.8296350993616e-21,0.38537956729225,0.805,0.572,5.70992066700177e-17,"14","UBA52"
"RPS25.6",4.00935798555735e-21,0.447424288375451,0.874,0.676,8.09048347905618e-17,"14","RPS25"
"ZFAS1.1",5.20595054944085e-21,0.263011953216219,0.398,0.168,1.05050876137167e-16,"14","ZFAS1"
"RPS3A.6",7.2213475461655e-21,0.4835925295601,0.727,0.489,1.45719572134074e-16,"14","RPS3A"
"RPL4.7",1.36407830327057e-20,0.371718872992614,0.805,0.566,2.75257360816968e-16,"14","RPL4"
"RPS29.10",1.45275385987227e-20,0.424949448877232,0.948,0.849,2.93151201383625e-16,"14","RPS29"
"ATF4.2",1.81116995378494e-20,0.272272377935408,0.364,0.149,3.65475984974264e-16,"14","ATF4"
"RPL35.7",2.17229722333009e-20,0.408706462713115,0.844,0.634,4.38347856695778e-16,"14","RPL35"
"S100A4.9",4.24144490873151e-20,0.267444290182644,0.675,0.399,8.55881168132931e-16,"14","S100A4"
"SNHG6.1",5.00644895786057e-20,0.281092069897095,0.442,0.204,1.01025133520669e-15,"14","SNHG6"
"CANX.3",6.60886214425498e-20,0.257141445427586,0.429,0.192,1.33360229208921e-15,"14","CANX"
"HMGN1.3",1.51390454486788e-19,0.311985035997488,0.398,0.178,3.0549079810889e-15,"14","HMGN1"
"RPS21.5",1.96782310660368e-19,0.41595765666154,0.831,0.627,3.97087024681556e-15,"14","RPS21"
"NONO.1",3.35539244423838e-19,0.253056489873991,0.359,0.151,6.77084641322864e-15,"14","NONO"
"CCNI.8",4.16678193664816e-19,0.284557492322732,0.58,0.315,8.40814926996233e-15,"14","CCNI"
"RPS14.8",4.58313551492537e-19,0.391089354320938,0.926,0.803,9.24830915556791e-15,"14","RPS14"
"SRRM2.1",5.99077829245884e-19,0.274674222750653,0.385,0.171,1.20887915163527e-14,"14","SRRM2"
"RPL7P9.4",6.13454324051969e-19,0.331137822303502,0.524,0.278,1.23788948050447e-14,"14","RPL7P9"
"RPL24.8",1.30161332318746e-18,0.422904032412047,0.732,0.544,2.62652552485998e-14,"14","RPL24"
"SARAF.4",4.15529211621861e-18,0.281017287772794,0.494,0.253,8.38496396131754e-14,"14","SARAF"
"LCP1.10",5.51001432629429e-18,0.260924607801461,0.606,0.337,1.11186579090292e-13,"14","LCP1"
"HNRNPA1.4",8.78129725575987e-18,0.303188043918256,0.511,0.272,1.77197797323978e-13,"14","HNRNPA1"
"RPL7.7",9.30377992255014e-18,0.485405427738779,0.649,0.463,1.87740975057139e-13,"14","RPL7"
"NAP1L1.4",1.23180254770928e-17,0.310535210668074,0.558,0.304,2.48565436102256e-13,"14","NAP1L1"
"ZFP36L1.9",1.4308225127783e-17,0.4353667985465,0.593,0.345,2.88725674853533e-13,"14","ZFP36L1"
"RPL3.8",2.07845640468382e-17,0.401799761915808,0.9,0.712,4.19411717901147e-13,"14","RPL3"
"RPS7.6",2.18157614043565e-17,0.379898389575119,0.818,0.615,4.40220249378509e-13,"14","RPS7"
"TUBA1B.8",2.73305730704523e-17,0.334713261993555,0.537,0.283,5.51503633988657e-13,"14","TUBA1B"
"TUBA1A.1",4.21631272062703e-17,0.625327078250392,0.355,0.17,8.50809743895328e-13,"14","TUBA1A"
"SF1.1",5.63443097691022e-17,0.254408089612574,0.416,0.2,1.13697182683071e-12,"14","SF1"
"EEF1B2.5",7.21863067556444e-17,0.356539483308887,0.558,0.327,1.45664748402215e-12,"14","EEF1B2"
"CCL5.11",1.53462340661506e-16,-0.482332258333577,0.117,0.388,3.09671657220852e-12,"14","CCL5"
"RPL27A.6",1.86833102300888e-16,0.393454809345416,0.918,0.839,3.77010517132961e-12,"14","RPL27A"
"RPL5.7",2.64433992649551e-16,0.397493487602369,0.74,0.552,5.33601353767529e-12,"14","RPL5"
"RPL13.7",2.79653797274675e-16,0.370218667048091,0.948,0.842,5.64313397520567e-12,"14","RPL13"
"RPL8.9",3.23530556061387e-16,0.309747856179621,0.805,0.6,6.52852309076272e-12,"14","RPL8"
"EEF2.10",3.32412577857501e-16,0.280189681113954,0.775,0.521,6.70775340858652e-12,"14","EEF2"
