"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"40",0,1.08703287679926,0.764,0.172,0,"1","HLA-DPA1"
"41",0,2.17756719413911,0.942,0.268,0,"2","HSPA1A"
"42",0,2.06831736593304,0.969,0.219,0,"2","HSPA1B"
"43",0,1.64917451959586,0.952,0.482,0,"2","DNAJB1"
"44",0,1.37814306405444,0.975,0.613,0,"2","HSP90AA1"
"45",0,1.15698269269653,0.794,0.281,0,"2","HSPE1"
"46",0,1.12256680832401,0.947,0.41,0,"2","LTB"
"47",0,1.03024181517247,0.87,0.59,0,"2","JUN"
"48",0,1.0039409848498,0.994,0.872,0,"2","RPL32"
"49",0,1.00077846939099,0.993,0.789,0,"2","RPS3A"
"50",0,0.997970758967484,0.998,0.873,0,"2","EEF1A1"
"51",0,0.981289259044499,0.995,0.918,0,"2","RPS12"
"52",0,0.973192982461384,0.992,0.661,0,"2","RPL39"
"53",0,0.972298442825958,0.993,0.869,0,"2","RPS6"
"54",0,0.971245008500865,0.989,0.64,0,"2","RPL22"
"55",0,0.967548793314803,0.991,0.758,0,"2","RPL21"
"56",0,0.964279925200567,0.955,0.494,0,"2","LDHB"
"57",0,0.961191202920093,0.993,0.897,0,"2","RPL34"
"58",0,0.958684489545166,0.991,0.801,0,"2","RPS13"
"59",0,0.949946578221756,0.992,0.876,0,"2","RPL11"
"60",0,0.946440993617486,0.993,0.697,0,"2","RPL18A"
